objectid,ctyua19cd,ctyua19nm,st_areasha,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work
30,E06000032,Luton,43359040.11,,,,2,0,0,0,0,0,0,0,0,1,0,0,0,5,6,4,9,3,5,7,15,11,9,12,10,10,16,26,17,23,18,14,27,28,30,35,16,22,16,23,15,24,8,5,25,35,4,9,13,18,18,17,21,6,36,15,13,7,26,7,6,19,5,9,11,6,8,10,17,19,7,20,15,11,25,25,25,18,13,9,19,10,12,16,16,11,8,7,0,13,14,11,4,10,8,3,11,14,18,4,6,12,13,5,23,7,7,6,6,7,14,4,3,6,7,0,2,5,5,4,5,5,8,4,1,2,4,10,14,16,7,14,14,9,9,8,3,5,11,9,3,3,10,6,5,7,7,10,5,3,5,5,7,4,7,3,19,11,7,10,6,2,3,4,2,5,5,3,5,9,1,3,3,3,5,2,3,2,1,6,5,12,13,13,6,8,6,17,5,4,8,11,8,3,8,6,13,22,16,19,25,17,19,13,32,25,17,18,19,12,17,19,24,30,31,10,26,38,36,34,12,30,42,29,67,42,40,42,27,48,70,48,56,58,37,34,74,62,77,74,83,60,60,120,84,71,81,67,62,57,98,106,96,101,93,71,44,120,89,110,106,78,43,19,E06000032,20864.04,41,25.908,54,0.0331,95,0.271,56,29512.26,82,203201,74293,76014,76295,156445,145208,89201,154803,193195,101954,101247,201549,1652,43364,35433,43926,42376,21084,2797,20862.12579,20329.5,96656,14423,8281,10625,29353,13606,1497,5871,19909,2980,96271,60963,33594,12373,140329,4754,2908,10905,44305,10476,46453,67449,13929,1354,4650,3940,8949,8079,20319,14239,22360,6066,907,16468,2002,9772,30616,19068,16716,123,44984,11715,16816,778,4454,30587,49835.89604,94607,73300,25277,7571,2446,18256,36953,50684,17332,34814,20389,32923,20981,2657,13326,59488,13730,18407,53271,12198,8337,8059,14336,10703,9660,5496,4741,1648,3186,9736,24488,19258,13390,11666,23038,20936,15571,98,14,8241,193,511,7231,15850,8987,5477,2933,2348,1297,4194,5625,3895,8915,9608
31,E06000033,Southend-on-Sea,41659963.4,,,,1,0,0,0,0,1,0,0,1,0,1,0,2,2,0,0,0,1,4,6,6,2,8,7,6,11,13,15,17,14,19,15,9,19,18,5,6,10,4,8,10,7,6,3,1,1,7,8,5,10,4,6,10,10,3,1,7,8,6,11,4,13,4,8,8,3,5,6,5,8,5,7,6,6,1,8,3,4,6,3,6,5,24,1,2,6,1,5,5,3,4,7,2,3,8,3,4,6,2,3,8,15,11,9,8,6,4,7,3,1,3,4,5,0,4,1,0,3,1,1,10,3,1,1,3,3,4,2,0,1,2,5,5,2,1,1,1,0,0,2,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,2,0,0,0,2,2,0,2,2,0,0,1,2,4,1,1,0,1,3,4,2,7,1,4,0,3,4,4,4,4,2,1,1,5,8,5,5,1,3,3,4,1,3,6,9,5,5,11,7,7,13,4,7,5,8,12,7,9,8,16,13,7,2,15,11,14,10,16,13,32,19,20,13,12,33,31,24,28,24,16,17,34,20,26,25,15,25,20,37,50,21,45,23,36,29,61,47,50,47,61,37,25,47,35,31,47,20,20,1,E06000033,16811.88,83,22.375,76,0.0841,67,0.2216,68,31094.85,56,173658,74678,78603,79126,140621,125007,81339,138473,166899,85037,88621,171489,2169,31591,21114,36929,43728,25732,5066,23421.39873,23647.5,152632,6391,3651,1810,1059,933,1084,1554,3647,897,96755,8478,54880,13545,156536,1301,2232,3190,10399,1621,34655,59294,17949,1456,1693,3304,10879,9243,24386,18427,19461,5057,64,12340,4448,12512,24457,14479,27644,34,48972,8597,16439,670,1324,32116,58739.32714,78341,60929,24420,7778,2190,17682,34621,51855,16055,30691,20383,33268,21027,3742,17873,45591,14133,17949,47972,12801,6209,3393,17655,4769,6298,5311,2650,773,2607,12761,29988,23282,14617,9602,20147,13997,8250,130,26,5542,203,499,6558,11469,3957,3860,2590,9046,1321,4695,3925,4777,8157,10391
32,E06000034,Thurrock,163774343.9,,,,,,,,,,1,1,0,0,1,0,2,3,5,1,0,3,5,9,2,4,10,12,7,7,10,10,10,19,8,10,10,8,15,19,7,7,8,5,8,5,4,11,5,6,4,6,9,11,5,5,4,17,6,7,10,8,5,4,1,1,5,6,7,2,7,3,9,4,1,2,4,11,1,0,2,8,2,5,2,0,5,4,1,4,3,3,0,4,3,4,6,7,4,2,4,8,2,2,0,5,4,4,5,5,1,1,0,4,7,1,1,2,0,1,0,1,1,0,1,2,1,0,2,1,2,0,1,2,3,0,1,2,1,1,1,3,0,4,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,2,1,0,5,2,0,2,3,0,0,1,1,2,0,3,2,0,0,2,3,1,2,0,2,3,5,2,4,1,5,2,6,4,1,4,5,1,3,2,3,2,6,6,2,1,6,12,4,5,6,4,4,13,10,15,10,9,9,6,24,8,15,21,22,14,15,32,49,17,28,28,20,26,52,57,48,43,50,29,30,59,29,31,44,31,34,23,54,51,39,35,33,40,38,80,54,66,44,57,46,42,66,60,58,53,65,34,1,E06000034,17375.69,77,20.928,85,0.0408,89,0.1214,100,28948.08,97,157705,62353,63869,63889,123407,114124,77420,122795,150466,77823,79882,157072,633,31807,20966,36566,38114,17395,2626,18516.33012,18802.5,128695,6734,3099,2234,534,682,828,1649,12323,927,99891,6858,41061,9895,138829,987,1391,4146,12352,1721,29807,56518,16161,1057,1803,2930,7662,6857,16368,14650,19622,4744,44,11669,1536,7609,21022,20610,14466,182,41580,11503,8772,498,1560,24550,43366.2517,76012,54788,19389,5888,1628,14606,32643,48253,13483,21519,12527,27384,22442,2258,16760,52312,6090,16370,48620,10161,6190,3123,13377,3987,5903,4037,2356,946,2553,8042,22505,18952,10944,10873,20177,17754,7217,136,63,5677,506,922,7507,15458,7686,3256,2189,4873,999,3676,4077,3825,6122,7516
33,E06000035,Medway,193613966.7,,,,2,0,0,0,0,0,0,4,1,3,0,2,1,2,1,3,2,10,3,11,16,9,11,9,9,9,10,17,33,25,16,23,19,30,35,22,20,25,18,13,12,15,16,17,24,17,12,19,18,9,16,16,9,10,7,17,17,24,24,15,4,17,11,23,11,9,9,10,7,14,15,8,5,4,5,10,7,6,9,8,2,4,2,0,1,3,6,3,3,5,6,1,3,3,1,2,5,3,4,0,2,2,1,3,0,3,2,4,9,7,2,2,1,2,1,4,2,1,1,6,1,4,3,0,2,5,1,3,2,1,0,0,2,1,0,2,1,7,2,1,3,1,3,0,2,4,2,5,3,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,2,4,2,0,4,0,1,2,3,2,2,1,2,1,6,7,6,3,0,2,2,3,2,5,4,1,2,3,3,0,5,8,9,14,2,5,9,6,8,6,11,10,9,8,18,13,11,11,18,24,15,15,9,3,21,22,21,24,25,12,9,41,40,39,29,38,36,33,64,70,57,68,60,44,40,116,84,75,66,80,83,94,135,117,140,141,146,118,102,194,169,203,172,161,113,6,E06000035,18587.91,70,23.936,68,0.0859,66,0.2389,65,30780.98,63,263925,106209,110107,110263,210511,194158,126689,206625,253480,130825,133100,259988,3937,53020,36622,54321,66990,32598,4407,31525.05815,31719,227600,8979,5176,7132,1516,1304,1065,2598,6663,1892,152637,14308,78995,17985,236589,1725,3328,5447,16836,2871,51650,94225,25780,1589,2130,5150,14030,12071,29434,26158,31548,8406,497,18572,4054,15031,32487,44980,16856,909,72967,13996,18153,1093,1750,43354,76936.34622,120662,95679,34307,10388,2889,25033,48226,83983,26818,40275,23231,45163,37815,4615,17882,89597,14595,27137,77912,16876,9469,6560,24738,9912,10105,7334,4115,1449,3818,15174,39630,31499,19018,17077,33068,26970,11866,446,83,9603,966,1523,13857,22022,7672,5639,3398,6336,1591,5988,6408,9688,11215,14754
34,E06000036,Bracknell Forest,109331486.3,,,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,1,5,2,2,1,3,3,2,5,4,3,9,10,3,10,7,4,4,11,10,3,4,9,7,16,10,5,5,8,7,3,6,6,9,10,5,2,7,9,5,5,4,3,4,3,5,2,3,5,3,7,3,4,1,0,1,5,5,3,1,11,4,4,4,0,1,5,0,1,2,1,3,2,6,1,0,2,1,0,1,2,1,1,1,1,2,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,0,0,0,3,1,2,0,1,0,0,0,2,1,4,1,2,2,7,2,5,7,4,5,2,7,3,5,10,0,1,2,0,6,3,2,1,1,6,3,5,3,2,6,1,4,7,4,8,13,7,9,9,10,12,7,5,7,15,11,20,12,10,14,7,14,22,28,13,10,14,15,32,13,13,18,24,17,8,31,28,22,21,18,10,23,26,25,28,26,20,27,14,13,13,19,8,12,3,0,E06000036,8295.79,144,10.241,144,0,130,0.0025,147,19756.83,146,113205,45878,46937,47039,89743,83116,61914,87613,108293,56107,57098,110512,2693,22340,14070,26631,29272,12262,1885,13982.62492,14298.5,97064,5490,2303,1989,518,134,556,2467,2189,495,68524,5046,32184,7451,98294,804,2194,1985,9928,708,19463,43500,10790,706,1044,1748,5950,4412,12707,12134,13862,3046,24,7151,1161,12883,9648,14885,8784,839,31946,7678,5734,520,558,13897,25745.5969,59320,38814,11394,2859,818,9674,14639,31978,11389,27197,6275,17818,21785,3663,4557,46764,6930,11066,40762,8167,2808,2334,8496,3007,3450,1770,1256,281,1058,12964,22207,13672,7886,6282,11172,7440,2876,135,107,4184,332,356,4477,10044,3537,2920,6180,1770,816,4611,3791,3809,5402,6152
35,E06000037,West Berkshire,704177304.7,,,,,,,1,0,0,0,0,2,0,1,1,1,1,3,1,2,7,1,8,3,7,4,5,6,3,11,4,14,5,10,13,6,6,11,5,2,13,9,7,12,12,9,17,10,14,6,16,12,7,9,3,9,6,11,4,17,7,5,5,1,10,3,1,1,1,3,1,6,4,5,1,3,5,1,8,5,8,5,6,1,4,1,4,0,5,0,0,1,2,2,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,3,1,1,1,0,0,5,2,0,1,0,0,2,1,3,0,0,0,0,1,1,0,0,0,1,1,0,5,0,2,2,0,0,3,0,3,3,2,1,3,2,0,3,0,6,1,3,2,0,1,2,1,2,1,3,0,0,2,2,2,1,3,5,7,4,5,4,1,7,6,2,4,6,2,13,7,12,4,6,12,5,6,14,8,5,3,17,11,17,11,16,7,11,28,19,17,17,27,17,7,25,17,28,21,30,10,11,39,27,27,22,33,21,27,38,29,33,20,34,22,15,30,22,14,25,21,7,1,E06000037,7974.34,146,9.952,147,0,130,0.0077,144,19124.68,148,153822,62340,64603,64657,122731,112054,81679,120655,147774,76321,77501,150878,2944,29612,15847,33010,42710,20539,3087,19269.54499,19872,140328,5526,2420,1675,473,225,659,776,1376,364,97896,3874,41042,11010,139909,1007,2349,2091,8466,698,23895,64924,13992,699,1132,2161,7180,6672,16123,18689,18063,3340,15,9450,2317,21875,21198,11542,9323,719,44130,8628,8555,1027,591,20278,35436.89654,79432,53069,16456,3818,1047,14288,21065,42036,14916,39406,7759,24042,30539,6223,7276,57929,10251,15567,51084,12691,3279,2780,14094,3799,4769,2420,1571,311,1210,18568,29779,17752,12271,8076,15423,10771,3647,762,136,6414,557,754,6317,12911,3012,3607,8668,2878,1286,6774,4107,4641,7889,6794
36,E06000038,Reading,40385975.19,,,,,,,,1,0,1,0,1,0,3,2,1,2,4,1,1,3,2,4,2,8,7,3,10,11,10,5,14,10,9,14,8,5,13,13,15,14,9,26,27,37,24,29,20,7,8,17,22,16,11,13,12,16,21,18,16,9,7,8,9,11,8,10,5,5,5,7,10,7,5,5,4,4,2,9,10,5,3,3,3,2,3,1,8,4,1,3,2,9,4,3,4,0,1,0,4,0,2,2,0,1,0,1,1,1,0,0,0,0,0,2,1,1,0,3,2,0,1,2,0,0,0,1,0,3,1,1,2,0,2,1,0,3,4,2,1,0,0,1,1,6,1,1,2,2,0,0,0,3,1,0,1,0,4,0,1,1,0,5,2,0,1,3,0,0,5,4,3,1,4,1,0,5,4,7,2,1,1,1,5,2,3,2,6,8,8,6,2,1,3,2,1,0,2,2,1,3,2,4,2,6,10,5,9,10,3,4,8,5,9,9,11,5,11,23,17,17,23,20,12,6,20,29,42,16,23,12,13,43,36,28,38,24,28,19,47,41,33,43,44,29,22,57,42,44,27,21,27,30,40,37,41,33,42,38,21,59,28,34,27,40,18,0,E06000038,16125.74,90,19.619,92,0.0515,83,0.1243,99,28764.09,101,155698,62869,65551,65925,125582,116808,79852,121356,148243,77967,77731,151330,4368,29714,29687,38506,31403,15190,2642,17707.3596,17216,103994,12393,6180,6514,6967,695,1603,5382,10470,1500,77848,20547,45931,11372,117078,1732,4080,5807,27001,3140,38270,49079,14943,1095,2659,2548,7023,5739,19237,14194,16873,4727,951,11614,3056,7992,16686,20024,21073,150,35609,10242,16394,624,2039,20110,36503.79802,78169,54913,16770,4590,1256,12315,21834,33905,16875,43690,17819,28235,16815,3721,17008,41686,17437,13883,52054,9238,5329,5825,10001,9297,5334,3227,2620,812,2195,17642,26526,15492,8588,7391,15994,11935,7162,109,260,3949,466,890,4955,12396,3644,4719,8887,3290,821,7243,4586,3714,7763,8708
37,E06000039,Slough,32538102.46,,,,,,1,0,3,1,0,7,6,4,2,4,7,4,1,5,5,2,6,10,7,6,12,11,5,6,10,6,11,3,10,14,5,9,18,9,8,14,12,9,14,17,17,8,12,8,11,8,5,8,10,12,11,8,10,6,8,12,27,8,6,4,6,5,5,5,5,7,3,5,2,5,4,1,0,7,2,0,1,1,0,2,1,2,1,5,2,0,0,2,2,3,3,0,1,1,1,1,0,4,4,2,6,2,6,2,5,2,3,0,1,3,2,5,2,0,2,3,1,3,3,1,0,1,0,1,3,2,2,0,0,2,3,2,0,0,0,0,2,1,1,0,1,2,0,3,1,2,7,1,4,1,1,4,7,4,4,5,3,12,3,5,2,1,0,1,4,4,0,4,5,1,1,1,2,3,4,2,0,5,4,0,12,6,2,3,4,5,7,3,9,5,5,0,2,2,4,2,10,7,12,7,20,19,21,29,11,19,6,17,17,18,21,21,24,21,21,30,24,13,18,9,27,39,37,44,32,34,22,41,47,41,31,38,28,34,42,55,53,49,52,38,42,70,54,48,50,58,60,44,82,104,86,89,79,47,44,84,97,77,58,57,39,2,E06000039,19788.26,53,22.965,73,0,130,0.1122,105,27534.97,113,140205,50766,51781,51980,106645,100458,67300,106152,132384,70120,70085,139697,508,30385,22925,35902,28175,11142,1682,13067.85704,12710,50008,14045,4758,21922,24869,549,797,7560,12115,3582,57726,57499,17024,7956,85553,1364,3132,9864,40292,8263,30202,47160,8996,801,3968,3092,6687,5246,14447,7962,16325,4503,105,11927,1214,5190,14478,14669,17598,45,27441,10476,12348,501,3919,18784,29175.10024,67156,50464,16288,4906,1391,11626,21434,32300,10790,27560,11885,22404,16477,2060,10966,45671,8603,11886,43610,8926,5440,3957,7517,5813,6555,3388,3366,1014,2121,8669,18355,13689,9169,8050,16536,12819,9824,101,52,5437,358,469,4082,11088,8469,4667,4747,1751,556,3336,5393,2434,4774,6909
38,E06000040,Windsor and Maidenhead,198423178.4,,,,,,1,0,0,1,2,3,5,0,3,1,2,1,0,6,5,2,7,7,2,9,5,4,8,2,11,7,9,4,4,9,4,3,10,3,10,2,9,7,2,10,12,14,10,3,5,6,0,5,6,6,5,12,6,6,8,4,3,5,2,5,4,5,3,2,1,4,5,1,2,3,1,3,1,1,3,2,3,5,1,2,1,4,3,4,0,0,2,1,8,0,5,2,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,0,2,2,2,0,0,0,0,1,0,2,3,1,1,0,1,0,0,0,2,1,1,3,3,1,0,1,0,0,1,2,0,2,3,3,2,6,2,6,12,2,5,6,2,2,5,4,3,5,0,1,5,10,5,2,8,4,6,9,4,24,15,9,2,6,4,3,8,8,1,3,10,6,8,5,4,4,5,6,11,9,10,16,17,15,15,29,32,19,19,11,11,33,22,28,33,24,21,21,27,23,42,39,20,21,20,37,39,42,27,31,34,29,62,33,25,35,29,36,32,52,46,53,53,27,34,27,40,25,39,29,22,22,3,E06000040,6289.3,150,8.376,150,0,130,0.0005,148,19673.48,147,144560,58349,60901,60943,115900,104247,73951,113209,138877,71328,73232,141065,3495,26571,15952,31949,37427,20588,3489,18098.87893,18452.5,114136,10369,3315,5860,4238,393,1071,2286,1725,1167,90051,13053,31353,10103,119434,1648,4330,2690,16458,1412,25056,58374,11617,997,1830,2013,6662,6660,16554,15916,16254,2898,16,9609,2594,18992,15426,11432,14428,665,40034,7748,9432,1135,880,18364,31713.91271,78802,46571,14234,3872,1081,13235,18134,33609,12933,44500,7782,23443,27124,6469,8366,49595,9521,12727,46337,12903,3292,2391,13366,4598,5016,1834,1783,361,1243,20217,31182,15873,11410,6780,11499,7751,4365,229,209,5524,499,446,4166,10216,4491,3796,7874,2482,1300,7667,4070,3606,7281,5688
39,E06000041,Wokingham,178974764.8,0,0,1,0,1,0,0,0,0,2,3,2,0,0,2,0,1,4,2,2,0,3,1,1,2,5,11,7,13,15,7,14,4,10,9,8,7,10,12,5,17,3,11,18,21,13,17,28,4,9,8,17,29,3,8,10,11,6,7,9,11,14,8,4,5,5,16,7,3,2,3,7,6,5,9,2,2,3,5,3,7,2,2,1,2,0,1,1,2,0,3,2,0,3,2,1,2,0,2,0,1,0,6,2,0,1,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,2,0,1,0,0,1,1,1,3,1,2,3,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,3,0,1,0,2,1,4,1,1,1,2,1,1,0,4,3,2,2,5,2,3,3,5,1,0,7,1,2,4,3,1,0,1,2,2,3,2,5,4,9,4,5,8,7,1,6,7,6,9,11,10,8,7,9,11,11,17,13,10,6,12,21,24,23,23,8,12,36,32,36,27,20,17,11,29,23,16,22,28,16,13,53,18,27,34,44,23,31,49,39,37,43,39,13,14,29,29,29,27,21,25,0,E06000041,3651.54,151,5.846,151,0,130,0,149,15956.85,149,154380,60332,62474,62490,123010,112273,81377,120636,148442,76464,77916,151740,2640,29258,15499,33741,42542,20843,2946,19087.98796,19726,130486,6039,3182,5331,2865,222,1203,1817,2093,1142,91905,11112,40143,11220,135322,1074,2804,1555,13625,857,23843,69054,11807,642,1255,1715,6167,6153,14084,18121,18748,2679,30,9349,2158,27840,18065,9107,6833,645,48782,4236,6755,559,540,18380,31770.40523,83759,51808,14566,3310,937,13902,16226,37175,15313,49184,5422,22202,32708,6515,8806,58402,7654,15282,51260,12081,2958,3331,14976,4441,4799,1742,1403,335,1035,23618,33611,18598,10865,6201,11995,6980,3536,264,249,5348,638,559,5387,11852,3044,2615,10267,3491,1050,8061,3766,4197,9351,7170
40,E06000042,Milton Keynes,308649081.9,,,1,0,0,1,0,0,0,0,0,1,0,1,1,0,3,12,6,2,4,2,23,14,10,7,10,10,10,14,17,14,12,12,10,21,19,19,12,13,17,14,7,15,16,12,16,13,5,7,7,16,29,21,15,8,15,25,12,38,22,9,8,16,14,19,8,13,10,4,2,5,5,5,6,6,3,1,0,4,5,6,4,1,4,0,2,1,3,1,2,0,3,0,0,2,3,2,0,1,3,2,5,6,1,2,2,6,3,0,6,1,12,5,1,1,0,4,0,0,1,1,0,1,1,1,2,0,0,1,1,1,1,2,0,1,1,0,0,0,0,2,1,1,1,1,4,1,3,0,0,2,2,0,0,6,3,3,6,4,0,2,8,2,2,2,6,1,2,4,4,3,5,4,4,5,4,3,2,2,2,4,2,3,5,9,9,7,3,1,10,7,3,12,2,5,1,5,11,10,4,6,7,9,12,7,15,8,3,2,14,14,12,19,11,18,17,15,24,14,27,31,20,12,12,22,29,25,16,30,25,11,34,43,42,43,42,39,35,58,40,34,44,55,51,31,64,48,43,58,47,30,47,90,62,75,90,78,63,64,87,78,71,51,61,38,5,E06000042,14351,107,17.98,107,0.0526,81,0.1183,101,29700.24,80,248821,98584,102012,102048,193429,181385,127783,191356,236730,123116,125705,246715,2106,50433,33652,59548,61209,23961,3550,28579.02144,29150,186432,12662,8235,8106,3851,1989,2722,6114,17131,1579,131352,23092,77939,16438,202685,2044,5550,6244,32298,3701,45928,89078,24650,1834,3052,4974,12883,8957,25546,24412,31279,8166,51,17296,3464,28781,28636,28006,16547,78,62898,17763,17066,857,2622,34538,61051.34831,124826,86778,26929,7955,2333,21797,34850,69595,22205,54591,18656,42633,37295,6689,14614,92292,14188,23644,84004,15731,8640,5698,18654,7143,8338,5810,3723,986,3364,22985,42010,29185,15132,13651,26394,21810,9830,276,74,10225,272,611,7339,26365,8348,5762,8212,6704,1523,8459,6933,5742,13401,11945
