regioncd,regionnm,ctyua19cd,ctyua19nm,Area Type,LE_Male,LE_Female,LEInequality_Male,LEInequality_Female,Mortality_all,Mortality_Cardio,Mortality_Cancer,Diabetes,Dementia,Smoking,Physical_Activity,Obesity,Employment,Homelessness,LowIncome_Child,ExcessWinterDeaths,Travel_Walk,Travel_Cycle,AHAH,AirPollution,FuelPoverty,EmploymentHealth_Gap,JobDensity,JSO,EconomicInactivity,IMD,WFP,Ethnic_Minority,OlderPersons,CareAdmissions,FluVaccine,NEET,SocialIsolation
E92000001,England,E08000032,Bradford,County & UA (4/19-3/20),77.7912,81.6367,9.1,8,406.1445,105,145.6,85.0617,78.7,16.5115,62.4076,65.6253,66,0.4484,23.2,30.5127,20.2893,1.0055,1.3072,7.4903,12.4,10.3914,0.71,6.6887,30.7,34.666,97.5423,25.4,14.9875,548.7,72.7261,6.1348,48.6
E92000001,England,E08000033,Calderdale,County & UA (4/19-3/20),78.3167,82.1666,10.6,9.8,374.7858,91.9,142,72.6526,65.2,16.0869,68.3775,66.6482,75.7,0.0749,19.6,30.3006,22.6936,1.1668,5.3869,6.9534,10.2,9.773,0.88,2.8528,21.7,26.351,95.8552,8.6,18.8007,552.8,71.5735,3.6815,46.2
E92000001,England,E08000034,Kirklees,County & UA (4/19-3/20),78.5312,82.496,9.1,6.9,364.9452,83,141.2,77.1911,69.9,14.2768,63.4068,68.3788,72.4,0.1041,18,29.6823,20.1244,2.4048,1.0729,7.1714,10.6,8.8363,0.7,4.9881,24.3,25.151,94.6934,17.9,17.7579,460.6,73.5103,3.4908,46.8
E92000001,England,E08000035,Leeds,County & UA (4/19-3/20),78.2509,82.1448,11.5,9.4,380.6157,86.3,147.5,77.1691,74.3,15.2608,69.7456,61.9708,75.5,3.5973,20.3,29.8035,29.1012,3.0731,9.1958,7.9781,10.3,9.3997,0.97,4.6304,21.6,27.301,99.4657,12.7,15.5731,524.4,75.9694,9.902,51.6
E92000001,England,E08000036,Wakefield,County & UA (4/19-3/20),78.3211,81.9153,8.9,8.4,383.3443,87,144,83.6111,65.6,16.6788,65.522,65.3885,74.3,0.4228,19.2,28.7356,15.6594,2.0686,4.1571,7.2389,8.8,14.3039,0.79,3.7773,20.8,27.306,96.2919,4.1,19.0278,834.3,73.3273,6.6502,47.4
E92000001,England,E08000037,Gateshead,County & UA (4/19-3/20),77.4622,81.431,10.6,9.3,428.3464,90.1,165,80.0516,74.6,17.0934,59.2097,62.716,74.2,0.9653,20.9,26.959,25.1641,0.8015,0,6.3097,8.6,15.6043,0.81,6.251,21.6,28.217,96.0084,4.3,19.6501,886.5,74.2443,5.6108,52
E92000001,England,E09000001,City of London,County & UA (4/19-3/20), , , , , , , , , , , , , , , , ,,,100,12.5786,5.5,,125.12,2.6367,,14.72,75.4476,40.2,16.8913,255.8,,3.1847,61.1
E92000001,England,E09000002,Barking and Dagenham,County & UA (4/19-3/20),77.9839,82.6663,3.8,3.4,400.1055,93.8,148.5,85.9088,62.7,18.0653,46.6618,72.7133,69,2.1875,22.5,26.7788,33.3428,1.1281,50.1592,12.0184,12.3,20.3386,0.49,6.2059,26.8,32.768,93.4953,43.5,9.2905,723.9,64.9651,3.5153,47.1
E92000001,England,E09000003,Barnet,County & UA (4/19-3/20),82.4494,85.7896,6.7,6.3,236.3389,54.8,100.2,73.7277,73,11.1346,59.4292,55.2278,71.7,0.6347,14,34.7735,28.1803,2.2032,34.7424,11.2268,11.8,15.1838,0.71,3.1916,24.4,16.148,92.8834,29.2,14.4755,334.4,67.0353,1.8668,44.7
E92000001,England,E09000004,Bexley,County & UA (4/19-3/20),80.0551,84.0925,7.9,6.7,305.065,60.4,130.1,80.8164,68,14.1653,64.4385,65.8746,76.8,0.6555,16.3,22.3065,35.9114,1.6798,34.5923,11.0599,9,15.1601,0.58,2.3111,20,16.273,98.2239,18.6,16.5003,463.6,67.1901,3.0584,49.1
E92000001,England,E09000005,Brent,County & UA (4/19-3/20),80.82,85.1131,6.9,6.4,305.5419,79.9,115.9,77.4743,70.9,10.3323,56.3011,49.4748,72.8,0.9681,18,32.844,35.6721,6.0357,51.258,11.533,13.7,13.7836,0.71,5.9317,24.2,25.558,91.1682,59.4,12.4596,280.1,64.6502,2.9624,39.1
E92000001,England,E09000006,Bromley,County & UA (4/19-3/20),81.3494,85.0025,8.1,6.1,262.1082,54.5,117.5,66.1316,70.4,9.4243,69.4677,65.7251,78.2,0.8672,13.2,35.7449,32.8682,2.0079,13.041,10.3434,8.6,18.2809,0.65,2.2341,18,14.163,99.2628,16.3,17.5055,415.3,71.485,2.0412,42.2
E92000001,England,E09000007,Camden,County & UA (4/19-3/20),82.6613,87.0419,12.6,10.6,280.6166,62.7,109.8,56.2735,87.2,12.0478,70.1399,41.6591,70.7,0.1253,27.3,20.5442,43.832,7.9166,92.74,11.92,11.9,10.978,2.22,3.6513,25.9,20.131,76.4245,37.8,12.022,336.9,70.636,3.643,36.3
E92000001,England,E09000008,Croydon,County & UA (4/19-3/20),80.2797,83.9554,8.2,6.3,308.2077,66.4,120.3,66.4358,70.8,12.4302,62.065,62.9093,74.4,1.2149,16.1,29.4269,34.5823,2.3014,29.7742,10.9065,11.2,18.3585,0.62,2.2433,22.4,22.477,97.2696,41.4,13.7563,383.5,64.9175,6.1667,39.3
E92000001,England,E09000009,Ealing,County & UA (4/19-3/20),80.7567,84.8294,5.8,3.6,312.0197,75.5,118,79.0356,75.5,9.9527,60.4328,57.622,72.5,2.8019,16.9,22.3608,37.2488,2.9438,51.8927,11.4593,12.6,14.6923,0.74,5.8023,22.8,22.71,94.0308,48.5,13.1203,370.4,64.6608,3.0576,35.8
E92000001,England,E09000010,Enfield,County & UA (4/19-3/20),80.6427,84.7761,8.8,5.7,291.5274,72.1,123.1,81.6672,88.4,15.8022,67.3566,66.8073,69.2,0.6824,22.2,31.04,31.7157,2.3594,42.6627,11.4708,12.7,15.559,0.59,5.2989,27.8,25.781,96.8727,33.2,13.3507,546.7,65.4578,5.2946,42
E92000001,England,E09000011,Greenwich,County & UA (4/19-3/20),79.5119,82.9628,5.8,3.6,350.448,77.7,141.7,78.5849,65.1,12.7591,62.9311,60.8511,73.6,0.9082,21.8,32.6111,32.2326,1.5044,40.3601,11.5016,11.1,8.2995,0.53,4.8692,21.8,24.464,93.9221,35.3,10.5434,564.1,66.1963,5.4843,37
